L	0.1334	2.7059	1477010443050000	0.0000	2.7500	0.0000	1.0000
L	-0.0812	3.7284	1477010443850000	-0.1062	3.5408	-0.2487	0.9686
L	-0.1667	4.2988	1477010444650000	-0.4058	4.2803	-0.4818	0.8763
L	-1.0504	4.8929	1477010445450000	-0.8798	4.9222	-0.6845	0.7290
L	-1.3231	5.3497	1477010446250000	-1.4986	5.4259	-0.8443	0.5358
L	-2.5178	5.7926	1477010447050000	-2.2232	5.7600	-0.9511	0.3090
L	-2.9155	5.9030	1477010447850000	-3.0081	5.9033	-0.9980	0.0628
L	-3.8712	5.8186	1477010448650000	-3.8040	5.8470	-0.9823	-0.1874
L	-4.5722	5.5051	1477010449450000	-4.5609	5.5945	-0.9048	-0.4258
L	-5.0291	5.0904	1477010450250000	-5.2312	5.1616	-0.7705	-0.6374
L	-5.7855	4.6173	1477010451050000	-5.7729	4.5757	-0.5878	-0.8090
L	-6.0176	3.9180	1477010451850000	-6.1517	3.8735	-0.3681	-0.9298
L	-6.3836	3.1550	1477010452650000	-6.3441	3.0991	-0.1253	-0.9921
L	-6.1241	2.3775	1477010453450000	-6.3378	2.3013	0.1253	-0.9921
L	-6.0750	1.4070	1477010454250000	-6.1333	1.5300	0.3681	-0.9298
L	-5.7935	0.7134	1477010455050000	-5.7435	0.8338	0.5878	-0.8090
L	-5.0367	0.2628	1477010455850000	-5.1927	0.2565	0.7705	-0.6374
L	-4.4854	-0.3882	1477010456650000	-4.5157	-0.1657	0.9048	-0.4258
L	-3.8597	-0.3552	1477010457450000	-3.7549	-0.4063	0.9823	-0.1874
L	-2.5534	-0.1967	1477010458250000	-2.9582	-0.4502	0.9980	0.0628
L	-2.2297	-0.3028	1477010459050000	-2.1757	-0.2945	0.9511	0.3090
L	-1.6004	0.1143	1477010459850000	-1.4564	0.0509	0.8443	0.5358
L	-0.7453	0.5764	1477010460650000	-0.8456	0.5643	0.6846	0.7289
L	-0.5547	1.1408	1477010461450000	-0.3817	1.2135	0.4818	0.8763
L	-0.1499	1.9107	1477010462250000	-0.0938	1.9576	0.2487	0.9686
L	-0.0395	2.7169	1477010463050000	0.0000	2.7500	0.0000	1.0000
L	-0.1385	3.4719	1477010463850000	0.0813	3.5437	0.2182	0.9759
L	0.3405	4.3238	1477010464650000	0.3575	4.2923	0.4540	0.8910
L	0.9267	4.8214	1477010465450000	0.8112	4.9487	0.6613	0.7501
L	1.4529	5.3200	1477010466250000	1.4138	5.4717	0.8271	0.5621
L	2.1715	5.8475	1477010467050000	2.1276	5.8283	0.9409	0.3387
L	2.9505	6.1675	1477010467850000	2.9076	5.9962	0.9956	0.0941
L	3.6984	6.0263	1477010468650000	3.7049	5.9649	0.9877	-0.1565
L	4.5362	5.8068	1477010469450000	4.4693	5.7363	0.9177	-0.3972
L	5.0976	5.7074	1477010470250000	5.1529	5.3248	0.7901	-0.6129
L	5.7888	4.6311	1477010471050000	5.7127	4.7561	0.6129	-0.7902
L	6.0416	3.9484	1477010471850000	6.1134	4.0662	0.3971	-0.9178
L	6.3694	3.1223	1477010472650000	6.3300	3.2982	0.1564	-0.9877
L	6.4616	2.3423	1477010473450000	6.3488	2.5005	-0.0941	-0.9956
L	6.0694	1.7423	1477010474250000	6.1686	1.7232	-0.3388	-0.9409
L	5.8967	1.1962	1477010475050000	5.8008	1.0152	-0.5621	-0.8271
L	5.2816	0.2990	1477010475850000	5.2685	0.4208	-0.7501	-0.6613
L	4.9267	0.1566	1477010476650000	4.6050	-0.0225	-0.8910	-0.4540
L	3.7393	-0.3399	1477010477450000	3.8522	-0.2868	-0.9759	-0.2181
L	3.0112	-0.6744	1477010478250000	3.0573	-0.3557	-0.9995	0.0314
L	2.1869	-0.1346	1477010479050000	2.2702	-0.2247	-0.9603	0.2790
L	1.4894	0.1593	1477010479850000	1.5404	0.0979	-0.8607	0.5090
L	0.7631	0.7134	1477010480650000	0.9138	0.5919	-0.7071	0.7071
L	0.4028	1.3178	1477010481450000	0.4297	1.2262	-0.5090	0.8607
L	0.1004	1.7601	1477010482250000	0.1186	1.9610	-0.2790	0.9603
L	0.0973	2.7699	1477010483050000	0.0000	2.7500	-0.0314	0.9995
